sample,date,group,gender,religion,age,firstName,lastName,email,QC01,QC02,QC03,QC04,QC05,QC06,QC07,QC08,QC09,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,__version__,_version_,_id,_uuid,_index
1,2017-08-24,group1,female,upsidedown,10,Eleven,Unsure,eleven@research.com,4,1,5,8,1,6,1,6,8,8,1,5,1,5,1,1,7,2,1,8,4,5,4,6,1,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be50,1
2,2017-08-26,group1,female,upsidedown,10,Eleven,Unsure,eleven@research.com,5,3,5,8,4,6,5,6,8,8,3,7,4,6,4,4,7,5,4,8,5,6,5,7,5,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be51,1
3,2017-11-26,group1,female,upsidedown,10,Eleven,Unsure,eleven@research.com,6,4,6,8,5,7,6,6,8,8,5,7,5,6,5,5,7,6,6,8,5,6,5,7,6,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be52,1
1,2017-08-24,group1,male,DND,9,Will,Byers,WillByers@test.com,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be53,1
2,2017-08-26,group1,male,DND,9,Will,Byers,WillByers@test.com,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be54,1
3,2017-11-26,group1,male,DND,10,Will,Byers,WillByers@test.com,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be55,1
1,2017-08-24,group1,female,DND,11,Mad,Max_Hayfield,MadMax_Hayfield@test.com,5,3,1,4,3,3,2,3,2,6,3,3,6,2,4,2,5,2,3,5,5,2,4,3,6,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be56,1
2,2017-08-26,group1,female,DND,11,Mad,Max_Hayfield,MadMax_Hayfield@test.com,6,5,4,5,5,5,5,5,4,8,4,5,6,4,6,4,5,5,3,5,5,2,5,6,7,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be57,1
3,2017-11-26,group1,female,DND,11,Mad,Max_Hayfield,MadMax_Hayfield@test.com,6,6,5,5,6,6,6,6,5,8,5,7,6,5,6,4,5,6,5,5,5,5,6,7,6,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be58,1
1,2017-08-24,group1,male,Hair,16,Steve,Harrington,SteveHarrington@test.com,8,8,1,2,1,3,8,2,5,4,6,2,6,3,3,6,2,6,5,6,5,2,5,4,8,vvExt3a3agKiVoH6odd7Sh,vYFWVbHaUGhJsXuGETeoz8,6902251,918358fe-8970-40d0-ba15-2894a519be59,1
